image,x,y
tile_1024_256,1024,256
tile_1792_256,1792,256
tile_768_512,768,512
tile_1536_512,1536,512
tile_1792_512,1792,512
tile_2048_512,2048,512
tile_1024_768,1024,768
tile_1792_768,1792,768
tile_2048_1024,2048,1024
tile_1792_1280,1792,1280
tile_1024_1536,1024,1536
tile_1792_1536,1792,1536
tile_1792_1792,1792,1792
tile_1024_2048,1024,2048
tile_2304_2304,2304,2304
tile_2816_2304,2816,2304
tile_2048_2816,2048,2816
tile_2560_2816,2560,2816
tile_2816_2816,2816,2816
tile_3328_2816,3328,2816
tile_4352_2816,4352,2816
tile_1536_3072,1536,3072
tile_1792_3072,1792,3072
tile_2048_3072,2048,3072
tile_2304_3072,2304,3072
tile_2560_3072,2560,3072
tile_2816_3072,2816,3072
tile_3584_3072,3584,3072
tile_3840_3072,3840,3072
tile_1536_3328,1536,3328
tile_2304_3328,2304,3328
tile_2560_3328,2560,3328
tile_2816_3328,2816,3328
tile_3072_3328,3072,3328
tile_3328_3328,3328,3328
tile_3584_3328,3584,3328
tile_3840_3328,3840,3328
tile_4096_3328,4096,3328
tile_4864_3328,4864,3328
tile_5120_3328,5120,3328
tile_5376_3328,5376,3328
tile_256_3584,256,3584
tile_1536_3584,1536,3584
tile_1792_3584,1792,3584
tile_2304_3584,2304,3584
tile_2560_3584,2560,3584
tile_3072_3584,3072,3584
tile_5632_3584,5632,3584
tile_1280_3840,1280,3840
tile_2560_3840,2560,3840
tile_4352_3840,4352,3840
tile_4608_3840,4608,3840
tile_4864_3840,4864,3840
tile_5120_3840,5120,3840
tile_5376_3840,5376,3840
tile_5632_3840,5632,3840
tile_2816_4096,2816,4096
tile_4608_4096,4608,4096
tile_4864_4096,4864,4096
tile_5120_4096,5120,4096
tile_5888_4096,5888,4096
tile_4608_4352,4608,4352
tile_4864_4352,4864,4352
tile_5120_4352,5120,4352
tile_5376_4352,5376,4352
tile_5632_4352,5632,4352
tile_4608_4608,4608,4608
tile_4864_4608,4864,4608
tile_5120_4608,5120,4608
tile_5376_4608,5376,4608
tile_5632_4608,5632,4608
tile_5888_4608,5888,4608
tile_5120_4864,5120,4864
tile_5376_4864,5376,4864
tile_6144_4864,6144,4864
tile_6656_5632,6656,5632
tile_6400_5888,6400,5888
tile_6912_5888,6912,5888
tile_6656_6144,6656,6144
tile_6912_6144,6912,6144
tile_7168_6144,7168,6144
tile_7424_6144,7424,6144
tile_6400_6400,6400,6400
tile_6656_6400,6656,6400
tile_6912_6400,6912,6400
tile_7168_6400,7168,6400
tile_7680_6400,7680,6400
tile_6912_6656,6912,6656
tile_7424_6656,7424,6656
tile_7424_6912,7424,6912
tile_7680_6912,7680,6912
tile_5120_7168,5120,7168
tile_5376_7168,5376,7168
tile_7424_7168,7424,7168
tile_4608_7680,4608,7680
tile_6400_7680,6400,7680
tile_7680_7680,7680,7680
tile_4352_7936,4352,7936
tile_4608_7936,4608,7936
tile_4864_7936,4864,7936
tile_5376_7936,5376,7936
tile_5632_7936,5632,7936
tile_6144_7936,6144,7936
tile_6656_7936,6656,7936
tile_7680_7936,7680,7936
tile_4352_8192,4352,8192
tile_4608_8192,4608,8192
tile_4864_8192,4864,8192
tile_5120_8192,5120,8192
tile_5376_8192,5376,8192
tile_6144_8192,6144,8192
tile_7680_8192,7680,8192
tile_4608_8448,4608,8448
tile_5120_8448,5120,8448
tile_4864_8960,4864,8960
tile_6400_8960,6400,8960
tile_4608_9216,4608,9216
tile_6400_9216,6400,9216
tile_4608_9472,4608,9472
tile_6400_9472,6400,9472
tile_5120_9728,5120,9728
tile_6400_9728,6400,9728
tile_5376_10240,5376,10240
tile_5120_11008,5120,11008
tile_5376_11264,5376,11264
